transaction_id,timestamp,item_code,batch_id,quantity,unit,location,status,source_type,operator_name,note
TXN-0134,2026-03-04 01:00:00,RM-4527,B-01-004,500,liters,Warehouse 01,On Hold,ocr_import,Anita Dispatch,item stayed on hold without review
TXN-0017,2026-03-04 01:00:00,FG-3340,B-28-003,10,sets,Finished Goods Zone,On Hold,manual,Rina Ops,item stayed on hold without review
TXN-0015,2026-03-04 03:00:00,PK-7572,B-70-002,10,boxes,Inbound Dock,On Hold,ocr_import,Dewi QA,item stayed on hold without review
TXN-0026,2026-03-05 02:00:00,PK-2169,B-69-005,80,packs,Packaging Zone,On Hold,batch_upload,Dewi QA,item stayed on hold without review
TXN-0104,2026-03-05 05:00:00,FG-2489,B-41-002,180,units,Finished Goods Zone,On Hold,batch_upload,Rina Ops,item stayed on hold without review
TXN-0093,2026-03-05 08:00:00,RM-2824,B-09-003,1250,kg,QA Hold Area,On Hold,manual,Sinta QA,item stayed on hold without review
TXN-0200,2026-03-06 05:00:00,RM-4611,B-16-004,300,sheets,Warehouse 01,On Hold,ocr_import,Sinta QA,item stayed on hold without review
TXN-0218,2026-03-06 08:00:00,FG-4593,B-70-003,180,units,Warehouse 03,On Hold,batch_upload,Sinta QA,item stayed on hold without review
TXN-0221,2026-03-07 05:00:00,PK-4483,B-31-002,40,packs,Warehouse 03,On Hold,ocr_import,Aldi Pratama,item stayed on hold without review
TXN-0204,2026-03-07 05:00:00,RM-4811,B-40-002,120,kg,Dispatch Zone,On Hold,manual,Dewi QA,item stayed on hold without review
TXN-0052,2026-03-07 07:00:00,PK-4733,B-53-003,40,boxes,Inbound Dock,On Hold,manual,Rizal Gudang,item stayed on hold without review
TXN-0242,2026-03-08 02:00:00,FG-4593,B-95-002,15,units,Dispatch Zone,On Hold,ocr_import,Sinta QA,item stayed on hold without review
TXN-0235,2026-03-09 05:00:00,PK-3664,B-52-002,25,boxes,Maintenance Cage,On Hold,batch_upload,Dewi QA,item stayed on hold without review
TXN-0141,2026-03-12 01:00:00,FG-8668,B-52-003,25,boxes,Yard A,On Hold,batch_upload,Rina Ops,item stayed on hold without review
TXN-0069,2026-03-12 05:00:00,RM-2584,B-30-001,200,liters,Warehouse 02,On Hold,batch_upload,Aldi Pratama,item stayed on hold without review
TXN-9004,2026-03-18 08:59:00,RM-0059,B-04-001,850,kg,Warehouse 01,On Hold,manual,Rizal Gudang,item stayed on hold without review
TXN-0177,2026-03-20 08:35:00,SP-8433,B-17-002,430,units,Warehouse 03,On Hold,ocr_import,Rina Ops,batch received and logged
TXN-0086,2026-03-20 10:52:00,PK-2169,B-14-001,100,packs,Packaging Zone,Ready,manual,Rizal Gudang,initial intake
TXN-0067,2026-03-20 11:20:00,RM-0059,B-08-002,1250,kg,Maintenance Cage,Need Review,manual,Rina Ops,batch received and logged
TXN-0224,2026-03-20 12:51:00,RM-8527,B-36-004,1000,kg,Inbound Dock,Ready,manual,Sinta QA,verified by operator
TXN-0208,2026-03-20 14:13:00,FG-8668,B-31-002,10,boxes,Yard A,Ready,batch_upload,Sinta QA,batch received and logged
TXN-0142,2026-03-20 14:28:00,PK-0291,B-78-001,50,pcs,Inbound Dock,Need Review,ocr_import,Sinta QA,manual upload might duplicate earlier record
TXN-0234,2026-03-20 17:47:00,RM-2584,B-05-003,200,liters,Warehouse 02,On Hold,manual,Anita Dispatch,verified by operator
TXN-0237,2026-03-20 18:46:00,PK-7227,B-46-001,-5,boxes,Warehouse 03,Need Review,batch_upload,Dewi QA,quantity outlier detected
TXN-0303,2026-03-20 18:49:00,PK-3664,B-52-002,25,boxes,Warehouse 03,Reject,ocr_import,Rina Ops,verified by operator
TXN-0022,2026-03-20 19:07:00,FG-2489,B-08-003,15,units,Finished Goods Zone,Unreleased,batch_upload,Anita Dispatch,location confirmed
TXN-0279,2026-03-20 20:15:00,FG-4593,B-75-001,430,units,Dispatch Zone,Unreleased,manual,Anita Dispatch,awaiting QA release
TXN-0112,2026-03-20 22:33:00,PK-3677,B-60-005,25,boxes,Warehouse 03,Reject,ocr_import,Rizal Gudang,batch received and logged
TXN-0009,2026-03-20 23:04:00,SP-5315,B-41-001,50,pcs,Warehouse 03,On Hold,ocr_import,Sinta QA,initial intake
TXN-0144,2026-03-21 01:18:00,FG-8668,B-87-001,10,boxes,Yard A,Reject,ocr_import,Dewi QA,batch received and logged
TXN-0309,2026-03-21 03:11:00,PK-0291,B-21-006,1250,pcs,Inbound Dock,Need Review,batch_upload,Dewi QA,verified by operator
TXN-0121,2026-03-21 04:27:00,RM-2824,B-94-001,850,kg,QA Hold Area,Ready,batch_upload,Sinta QA,batch received and logged
TXN-0175,2026-03-21 10:26:00,FG-8019,B-85-001,75,boxes,Yard A,Reject,manual,Aldi Pratama,quantity outlier detected
TXN-0219,2026-03-21 10:55:00,RM-3615,B-76-004,160,sheets,Finished Goods Zone,Ready,batch_upload,Sinta QA,verified by operator
TXN-0147,2026-03-21 13:19:00,SP-8433,B-51-001,430,units,Warehouse 03,Ready,batch_upload,Rizal Gudang,location confirmed
TXN-0031,2026-03-21 13:46:00,PK-4483,B-22-003,20,packs,Warehouse 03,Ready,ocr_import,Dewi QA,initial intake
TXN-0101,2026-03-21 14:15:00,PK-3677,B-18-001,40,boxes,Warehouse 03,Need Review,manual,Rina Ops,batch received and logged
TXN-0172,2026-03-21 16:22:00,FG-2040,B-66-003,45,sets,Inbound Dock,Unreleased,manual,Rina Ops,quantity outlier detected
TXN-0205,2026-03-21 16:31:00,SP-8433,B-51-001,90,units,Warehouse 03,On Hold,manual,Rizal Gudang,initial intake
TXN-0114,2026-03-21 18:00:00,FG-4593,B-70-003,180,units,Dispatch Zone,Unreleased,ocr_import,Sinta QA,location confirmed
TXN-0087,2026-03-21 18:18:00,FG-3621,B-75-001,25,boxes,Yard A,Unreleased,ocr_import,Rizal Gudang,item moved to non-standard area
