log_id,timestamp,item_code,batch_id,previous_status,new_status,changed_by,reason,approved_by
LOG-0009,2026-03-04 01:28:00,FG-3340,B-28-003,Unreleased,On Hold,Budi Supervisor,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Sinta QA
LOG-0091,2026-03-04 01:30:00,RM-4527,B-01-004,Need Review,On Hold,Sinta QA,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Budi Supervisor
LOG-0008,2026-03-04 04:56:00,PK-7572,B-70-002,Need Review,On Hold,Budi Supervisor,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Sinta QA
LOG-0013,2026-03-05 03:05:00,PK-2169,B-69-005,Ready,On Hold,Sinta QA,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Budi Supervisor
LOG-0070,2026-03-05 05:20:00,FG-2489,B-41-002,Ready,On Hold,Sinta QA,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Maya Supervisor
LOG-0064,2026-03-05 09:58:00,RM-2824,B-09-003,Need Review,On Hold,Sinta QA,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Sinta QA
LOG-0132,2026-03-06 06:44:00,RM-4611,B-16-004,Ready,On Hold,Maya Supervisor,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Budi Supervisor
LOG-0147,2026-03-06 09:54:00,FG-4593,B-70-003,Ready,On Hold,Sinta QA,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Budi Supervisor
LOG-0135,2026-03-07 05:45:00,RM-4811,B-40-002,On Hold,On Hold,System AI,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Maya Supervisor
LOG-0150,2026-03-07 06:47:00,PK-4483,B-31-002,Ready,On Hold,Budi Supervisor,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Sinta QA
LOG-0036,2026-03-07 07:11:00,PK-4733,B-53-003,Ready,On Hold,System AI,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Budi Supervisor
LOG-0161,2026-03-08 03:03:00,FG-4593,B-95-002,Unreleased,On Hold,Budi Supervisor,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Budi Supervisor
LOG-0157,2026-03-09 05:18:00,PK-3664,B-52-002,Ready,On Hold,System AI,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,
LOG-0096,2026-03-12 01:04:00,FG-8668,B-52-003,Ready,On Hold,Rina Ops,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Sinta QA
LOG-0049,2026-03-12 05:29:00,RM-2584,B-30-001,Reject,On Hold,System AI,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Maya Supervisor
LOG-0216,2026-03-18 09:29:00,RM-0059,B-04-001,Ready,On Hold,Budi Supervisor,The item has remained On Hold beyond the expected threshold and requires supervisor follow-up.,Budi Supervisor
LOG-0047,2026-03-20 11:42:00,RM-0059,B-08-002,On Hold,Need Review,Sinta QA,Record passed primary checks and no high-risk anomaly was detected.,Maya Supervisor
LOG-0060,2026-03-20 11:47:00,PK-2169,B-14-001,Ready,Ready,Maya Supervisor,Record passed primary checks and no high-risk anomaly was detected.,Sinta QA
LOG-0139,2026-03-20 14:36:00,FG-8668,B-31-002,Reject,Ready,Budi Supervisor,Record passed primary checks and no high-risk anomaly was detected.,Sinta QA
LOG-0097,2026-03-20 14:54:00,PK-0291,B-78-001,Ready,Need Review,Maya Supervisor,This record is likely a duplicate of a recent inbound update and should be reviewed before approval.,Maya Supervisor
LOG-0156,2026-03-20 17:57:00,RM-2584,B-05-003,Need Review,On Hold,Anita Dispatch,Record passed primary checks and no high-risk anomaly was detected.,Maya Supervisor
LOG-0158,2026-03-20 20:12:00,PK-7227,B-46-001,Reject,Need Review,Maya Supervisor,The submitted quantity deviates from expected patterns and should be verified by the operator.,Maya Supervisor
LOG-0012,2026-03-20 20:26:00,FG-2489,B-08-003,On Hold,Unreleased,Anita Dispatch,Record passed primary checks and no high-risk anomaly was detected.,Budi Supervisor
LOG-0187,2026-03-20 21:50:00,FG-4593,B-75-001,Ready,On Hold,Sinta QA,Manual status conflicts with the quality note. The item should not remain Ready while inspection is still pending.,
LOG-0004,2026-03-21 00:23:00,SP-5315,B-41-001,Reject,On Hold,Maya Supervisor,Record passed primary checks and no high-risk anomaly was detected.,
LOG-0098,2026-03-21 03:00:00,FG-8668,B-87-001,Ready,Reject,Sinta QA,Record passed primary checks and no high-risk anomaly was detected.,
LOG-0081,2026-03-21 04:53:00,RM-2824,B-94-001,On Hold,Ready,Sinta QA,Record passed primary checks and no high-risk anomaly was detected.,Maya Supervisor
LOG-0148,2026-03-21 11:35:00,RM-3615,B-76-004,Ready,Ready,Budi Supervisor,Record passed primary checks and no high-risk anomaly was detected.,Maya Supervisor
LOG-0116,2026-03-21 12:20:00,FG-8019,B-85-001,Reject,On Hold,Sinta QA,The submitted quantity deviates from expected patterns and should be verified by the operator.,
LOG-0017,2026-03-21 13:54:00,PK-4483,B-22-003,Need Review,Ready,Sinta QA,Record passed primary checks and no high-risk anomaly was detected.,Sinta QA
LOG-0114,2026-03-21 16:33:00,FG-2040,B-66-003,Reject,On Hold,Rina Ops,The submitted quantity deviates from expected patterns and should be verified by the operator.,Sinta QA
